gene	Ace_24	Ace_24	Ace_24	Ace_24	Ace_24	Ace_24	Ace_24
ENSRNOG00000000316	291	307	298	354	225	299	354
ENSRNOG00000000320	0	1.00515	0	0	0	0	0
ENSRNOG00000000321	97	56	99	101	72	88	116
ENSRNOG00000000322	639	588	618	637	498	633	584
ENSRNOG00000000323	154.0002	146	185.9999	167.9997	129	117	218.9999
ENSRNOG00000000327	704	566	676	663	539	648	594
ENSRNOG00000000335	17	12	10	13	6	20	4
ENSRNOG00000000340	2786.0011	2590.0004	2818.9955	2591.9982	2279.0001	2470.0017	2592.9994
ENSRNOG00000000341	3321.17	3479.13	3329.48	4282.79	3284.19	3561.32	4280.12
ENSRNOG00000000345	0	0	1.02081	0	0	0	0
ENSRNOG00000000368	4	7.00000324	3	6	7	10	8
ENSRNOG00000000373	434	384	456	483	340	442	363
ENSRNOG00000000376	0	0	0	0	0	0	0
ENSRNOG00000000378	473.569	411.944	711.471	417.103	357.804	444.191	501.483
ENSRNOG00000000383	1510.00000060069	1264	1444.0017094	1570	1190	1460	1241.001
ENSRNOG00000000384	0	0	0	2	0	1	0
ENSRNOG00000000386	52	71	52	53	52	47	48
ENSRNOG00000000387	719.585	651.104	701.485	680.036	587.334	617.812	646.655
ENSRNOG00000000390	226	196.5	216.5	222	175.5	220.5	207.5
ENSRNOG00000000392	783.0001	667.0001	762.9995	742	632	716.0001	724
ENSRNOG00000000394	37.4125	29.49618	40.5172	34.32273	23.622	32.51622	37.51176
ENSRNOG00000000395	1556	1194	1457	1420	1138	1364	1365
ENSRNOG00000000396	1390.99567	1123.0001	1315.00000168895	1205.9975	1083.9958	1256.003324	1325.0032
ENSRNOG00000000397	2229	1732	2133	2031	1723	2152	1921
ENSRNOG00000000398	497	448	448	443	407	494	496
ENSRNOG00000000401	0	0	0	0	0	0	0
ENSRNOG00000000405	0	0	1	0	0	0	0
ENSRNOG00000000406	74	66	79	88	86	70	85
ENSRNOG00000000407	283	281	299	322	240	294	298
ENSRNOG00000000408	1090.8	868.697	1019.73	973.495	831.459	1031.24	843.025
ENSRNOG00000000410	2	0	1	0	0	0	0
ENSRNOG00000000411	1266.13	1204.01	1324.84	1321.85	1067.86	1280.67	1345.69
ENSRNOG00000000412	40	27	38	35	36	37	19
ENSRNOG00000000413	39039	34734	40592	39717	34819	37246	45561
ENSRNOG00000000414	183.0004	123	188.00041	138.99981	115	175.00012	182
ENSRNOG00000000415	772	662	751	693	595	694	676
ENSRNOG00000000417	4817.17	4494.35	4897.46	4967.15	4002.94	4562.97	4413.97
ENSRNOG00000000418	300	215	251	264	200	254	251
ENSRNOG00000000419	14.4785	20.59236	0	5.60351	7.29618	32.4208	21.01642
ENSRNOG00000000420	794.9997	601.9994	707.9996	741.0006	628.0002	645.9999	689.0002
ENSRNOG00000000421	1162	1040	1158	1152	904	1102	983
ENSRNOG00000000422	305	297	279	255	244	278	253
ENSRNOG00000000423	117	100	133	131	94	113	125
ENSRNOG00000000428	7	5	3	13	3	1	5
ENSRNOG00000000431	1322.00104	1263.99924	1241.00296024728	1439.99562	1030.99977	1194.00122	1251.998445
ENSRNOG00000000432	296	237	256	320	226	288	238
ENSRNOG00000000433	14	11	19.00004	13	17	12	24
ENSRNOG00000000435	942.00033	856.00042	903	966.000350173503	767.99955403418	889.99983	944.00037
ENSRNOG00000000436	25.99995	12	19	26	24	17.01252	29.00004
ENSRNOG00000000437	2605.9973	2424	2384.9981	2684.99741	2161.0003	2346.9849	2440.9988
ENSRNOG00000000438	1188	1096.00049	1227	1156.99877	883.99975	1046.99922	1155
ENSRNOG00000000439	48.00005	31.00003	44.99995	34.99996	46.99997	54.99993	47.99996
ENSRNOG00000000440	973.00046	772.00032	887	1006	751	868.00048	821.99979
ENSRNOG00000000441	27	27	31	33	24	21	41
ENSRNOG00000000442	232	187	265	297	203	264	395
ENSRNOG00000000443	77.1693	63	62.6452	62.8366	81.8932	72.3642	44.522
ENSRNOG00000000446	0	0	0.5	0	0	0	0
ENSRNOG00000000451	2	4	6	5	0	5	4
ENSRNOG00000000454	3	0	1	1	3	2	5
ENSRNOG00000000455	195.246	161.595	239.543	200.474	133.805	143.07	193.168
ENSRNOG00000000456	132.36782	95.02578	140.07388	104.02226	111.09693	131.11918	114.01278
ENSRNOG00000000457	654.57529	525.3129	620.14346	563.5637	473.2579	612.5989	408.289
ENSRNOG00000000459	259	184	271	220.00026	186.99964	222.0005	212.99953
ENSRNOG00000000461	5764.9954	5098.0044	5471.997	5937.99652	4713.0012	5337.9982	5314.99582
ENSRNOG00000000463	51.9256	43	80.0000092017	87.99998	51.3965	63.3159	92.00001
ENSRNOG00000000464	1390.00152	1091.99982	1214.99766	1346.00047	1041.00018	1162.00035	1318.99596
ENSRNOG00000000465	3001.0026	2738.99829	2918.00285	3350.0046	2535.99862	2633.00088	3058.00176
ENSRNOG00000000466	798.00029	757.00012	827.00001	809.99989	622.00012	690.00033	874.0001
ENSRNOG00000000467	1090.99742	948	1041	1034	837	963	888
ENSRNOG00000000470	2209.5284	2110.14363	2324.02046	2402.0974	1876.86661	2126.788	2225.74343
ENSRNOG00000000471	93	88	100	111	76	82	86
ENSRNOG00000000473	790.99981	720.99999	814.00024	787.99999	669.99965	728.99983	778.0002
ENSRNOG00000000474	1196.3431	965.05687	1202.7564	1180.44892	912.50916	1176.1221	1068.5394
ENSRNOG00000000476	1028	798	910	918	780	868	864
ENSRNOG00000000477	688.4582	662.105343988	732.21988291952	677.5621	588.91607	630.21203	600.882010022735
ENSRNOG00000000479	654	503	552	493	435	527	348
ENSRNOG00000000480	532.00012	432.0003	502.9997	552.99938	456.00046	512.9997	461
ENSRNOG00000000481	1198.9994	1155.0001	1133.9996	1214.0006	938.9992	1028.0002	1087.9993
ENSRNOG00000000483	1037.999	867.0002	1003.0001	1061.9996	837.9998	1057.0001	866.0003
ENSRNOG00000000485	1137.00048	1139.00253	1153.9975	1174.998	997.00049	1125.99563	1149.99547
ENSRNOG00000000486	5	9	7	15	8	7	16
ENSRNOG00000000488	1544	1418	1487.89	1531	1254	1321	1369
ENSRNOG00000000490	2868.72	2632.33	2808.86	2691.36	2417.74	2513.58	2676.38
ENSRNOG00000000491	4	3	6	6	2	1	0
ENSRNOG00000000493	541.996	547.863	518.61	500.765	538.777	506.996	500.094
ENSRNOG00000000495	1348	1208	1379	1379	1031	1272	1121
ENSRNOG00000000498	1310	1185	1244	1436	1121	1354	1295
ENSRNOG00000000499	4	2	2	1	1	4	1
ENSRNOG00000000500	44	24	39	28	30	42	43
ENSRNOG00000000501	1089	934	1009	1168.9993	864	977	1033.0031
ENSRNOG00000000502	146.643	102.889	123.004	108.176	97.4593	126.642	69.3014
ENSRNOG00000000503	1145.816	1067.7285	1152.7445	1338.028	994.7113	1107.9256	1143.916
ENSRNOG00000000504	470	407	447	492	392	427	471
ENSRNOG00000000505	9577.95	8220.44	9476.8	8783.98	7922.72	7938.96	8417.97
ENSRNOG00000000506	1373.86	1239.44	1416.34	1534.5	1147.63	1344.44	1410.91
ENSRNOG00000000507	0	0	3	1	2	0	1
ENSRNOG00000000508	0	0	0	0	0	0	0
ENSRNOG00000000510	0	0	0	0	0	0	0
ENSRNOG00000000511	826.00031	706	806.00048	851	722.0005	846.99987	841.99998
ENSRNOG00000000512	122.9999	120	119	124.0000111	109.99997	122	137
ENSRNOG00000000513	2487	2185.003	2564.004	2603	2109.996	2443	2462
ENSRNOG00000000515	18.7471	17.9486	26.421	26.7094	28.7464	28.3954	37.8714
ENSRNOG00000000516	1	2	0	1	0	2	1
ENSRNOG00000000517	408.00029	401.0002	377.9998	484.0004	313.00045	382.99959	400
ENSRNOG00000000519	1189.37018	1149.37468	1258.67112	1244.94034	992.6362	1294.4662	1174.80356
ENSRNOG00000000520	3072.619	2967.416	3072.163	3085.832	2637.068	3186.006	3188.993
ENSRNOG00000000521	5811.59	5022	5156.55	4857.54	4190	4961.95	3636
ENSRNOG00000000522	41.3959	54.7599	48.8358	53.1849	46.3088	43.0007	45.6212
ENSRNOG00000000523	651	665	672	668	539.99996	643	575
ENSRNOG00000000524	1562.99941	1464.99919	1704.99951	1589.9997	1365.99997	1497.70974	1606.00021
ENSRNOG00000000525	221.99964	163.0002	234.9997	210.00026	177.99991	197.00049	188.99995
ENSRNOG00000000527	7875.9994	6894.99765	7190.00592	7218.99631	5803.00041	6554.99932	7004.00125
ENSRNOG00000000528	14	8	22	9	13	22	13
ENSRNOG00000000529	324	326	326	302	247	277	293
ENSRNOG00000000531	258	304	262	233	181	211	252
ENSRNOG00000000532	2742.998	2347.997	2753.002	2746.003	2207.9971	2627.999	2630.004
ENSRNOG00000000536	96.2147	81.2758	104	122	84.2521	94.7508	98.5288
ENSRNOG00000000540	247	217	235	221	190	213	208
ENSRNOG00000000541	2904	2670	3023	2756	2561	2695	2806
ENSRNOG00000000542	6	10	12	14	5.000001	12	17
ENSRNOG00000000543	123.261	93.1389	128.369	114.106	92.0772	74.2593	77.3575
ENSRNOG00000000546	160	138	152	142	135	160	153
ENSRNOG00000000547	122	95	132	125	98	130	114
ENSRNOG00000000549	2383	1997	2232	2310	1874	2153	2002
ENSRNOG00000000551	79	49	67	59	65	53	67
ENSRNOG00000000552	16	12	11	20	7	9	12
ENSRNOG00000000556	2	2	2	3	1	3	0
ENSRNOG00000000557	4235.0004	3726.9995	4041	4089.0003	3658.9954	4003.0004	3988.002
ENSRNOG00000000559	0	0	2	0	0	1	0
ENSRNOG00000000560	746	677	718	766	577.0002	699	687.0005
ENSRNOG00000000561	506.00037	531	549.00000328898	633.0000610447	467	528.99971	597
ENSRNOG00000000562	30	19	42	22	19	22	24
ENSRNOG00000000563	126.0001	82	111	127.9996	88.99995	100	121
ENSRNOG00000000564	2	1	2	1	0	1	2
ENSRNOG00000000565	1288.001	1185	1335.003	1368.003	1136	1328.998	1179
ENSRNOG00000000566	282	315	304	307	260	304	283
ENSRNOG00000000567	3109.04	2695.64	2918.5	3316.92	2494.56	2902.91	2833.81
ENSRNOG00000000568	272.325	234.064	259.303	258.258	216.171	256.319	236.333
ENSRNOG00000000569	90	52	73	91	56	62	69
ENSRNOG00000000571	16042	14872	15531	18129	13877	16092	15920
ENSRNOG00000000572	317.086	295.427	310.461	295.193	224.49	334.31	239.382
ENSRNOG00000000574	2.0036	0	0	0	1.0013	0	0
ENSRNOG00000000576	700	704	702	747	617	648	677
ENSRNOG00000000579	1683.93	1437	1677.91	1715	1186	1473.97	1893
ENSRNOG00000000580	7	15	10	8	6	12	12
ENSRNOG00000000581	641	622.9998	680.9998	617.9992	547.9992	582.0005	653.0005
ENSRNOG00000000582	0	1	3	0	2	1	2
ENSRNOG00000000583	789	647	841	741	628	701	633
ENSRNOG00000000585	1814	1630	1842	1883	1540	1862	1745
ENSRNOG00000000586	475	389	456	483	403	417	405
ENSRNOG00000000587	238	210	231	229	171	229	236
ENSRNOG00000000588	322.9997	278	335.000000252893	346.99958	238.0004	353	306
ENSRNOG00000000589	17.3481	18.616	23.66	17.0254	18.4077	13	3.15833
ENSRNOG00000000590	14.2323	13.6276	29.1732	10.0571	9.70366	8.31456	13.3452
ENSRNOG00000000593	1347.71	1210.892	1433.601	1286.516	1059.652	1384.18131286	1286.943
ENSRNOG00000000595	91	102	116	101	73	114	90
ENSRNOG00000000596	1299.0014	1077.9996	1145.0001	1196.0003	987	1149.0007	1175.9999
ENSRNOG00000000597	5.04763	2.62343	0	1.32314	1.45696	1.3342	0
ENSRNOG00000000598	323.952	275.377	291	306.677	245.543	280.666	226
ENSRNOG00000000599	5383	5083	5216	6190	4753	5631	5881
ENSRNOG00000000604	3095	2688	2972	3013	2633	3042	2992
ENSRNOG00000000605	5	1	3	7	3	2	2
ENSRNOG00000000606	0	0	1	0	0	0	0
ENSRNOG00000000607	0	0	0	0	2	2	0
ENSRNOG00000000609	336.977	373.196	349.225	374.183	321.291	391.111	376.284
ENSRNOG00000000610	3036	2811	3082	2995	2464	2879	2865
ENSRNOG00000000611	602	568	575	719	539	696	593
ENSRNOG00000000613	1034	884	980	979	827	884	910
ENSRNOG00000000614	1725.996	1402	1677	1716	1309	1608	1478
ENSRNOG00000000618	0	1	3	0	4	2	2
ENSRNOG00000000620	0	1	0	0	1	1	0
ENSRNOG00000000622	5754	5543	5812.85	5630	5215	5310	5619
ENSRNOG00000000630	0	0	0	0	0	0	0
ENSRNOG00000000632	928.9997	650.0004	807	703.9997	642.0001	684	504.9999
ENSRNOG00000000633	830.9058	758.92	959.4419	961.532	759.8738	919.8612	880.44
ENSRNOG00000000634	751	647	796	719	671	731	828
ENSRNOG00000000636	106.1473	81	79	72	78	81	53
ENSRNOG00000000638	196.728	164.682	169.359	125.927	122.934	151.74	112.773
ENSRNOG00000000639	418	296	340	344	323	327	294
ENSRNOG00000000640	331	206	300	302	246	312	330
ENSRNOG00000000641	388.485	324.483	414.742	338.273	340.556	355.731	351.796
ENSRNOG00000000645	2981	2578	2918	2813	2295	2899	2728
ENSRNOG00000000648	2223	1978	2169	2225	1876	2220	2068
ENSRNOG00000000650	0	0	0	0	0	0	0
ENSRNOG00000000653	8	17	14	13	17	14	26
ENSRNOG00000000655	65.8273	57.1049	78.7403	60.5376	46.2688	58.2263	76.5327
ENSRNOG00000000657	800	742	775	711	582	750	676
ENSRNOG00000000658	9656.00037285	8849.00462313	10221.004952	10829.043013	8084.9973215	10269.995798149	10142.0015008
ENSRNOG00000000661	331	270	323	316	250	336	276
ENSRNOG00000000662	106	79	101.412	95	105	119	111
ENSRNOG00000000663	956	822	871.588	869	731	882	782
ENSRNOG00000000664	992	901	1016	962	884	947	979
ENSRNOG00000000665	1580.001	1424	1600.003	1578	1346	1537.001	1468
ENSRNOG00000000691	0	1	1	0	0	0	0
ENSRNOG00000000692	384	360	361	426	324	367	358
ENSRNOG00000000693	135	123	108	97.9063	57	79.8239	29
ENSRNOG00000000695	540	582	605	673	433	572	567
ENSRNOG00000000697	2131	1898	2145	2189	1732	1895	2238
ENSRNOG00000000699	54	48	37	68	36	42	33
ENSRNOG00000000700	304	171	262	267	204	199	212
ENSRNOG00000000701	2326	2039	2262	2193	1866	1935	2170
ENSRNOG00000000702	1120	992	1082	1189	889	1069	935
ENSRNOG00000000704	235.746	275.831	215.538	296.054	216.653	185.77	456.87
ENSRNOG00000000708	4	1	7	7	4	1	1
ENSRNOG00000000713	0	0	0	0	0	0	0
ENSRNOG00000000715	3	0	0	0	1	0	1
ENSRNOG00000000716	0	3	0	0	0	0	0
ENSRNOG00000000718	2152	1914	2101	2033	1801	2139	1808
ENSRNOG00000000720	291	272.803	313	276	271	262	284
ENSRNOG00000000723	315.78542	264.9565	339.69134	290.25067	231.88666	320.9628	264.616
ENSRNOG00000000726	0	0	0	0	0	0	0
ENSRNOG00000000728	349	431	377	374	345	376	402
ENSRNOG00000000729	369.0836	411.00868	334.1019	390.0114	305	377.09923177	365
ENSRNOG00000000746	0	0	0	0	0	0	0
ENSRNOG00000000747	0	0	0	0	0	0	0
ENSRNOG00000000748	5.46964	3.41005	3.52297	3.3667	8.42701	5.27827	8.52471
ENSRNOG00000000749	0	0	0	0	0	0	0
ENSRNOG00000000759	0	0	0	0	0	0	0
ENSRNOG00000000763	102.4923	102.3775	93.4619	130.446	76.3485	109.362	110.911
ENSRNOG00000000765	0	0	0	0	0	0	0
ENSRNOG00000000767	0	0	2	2	0	0	0
ENSRNOG00000000768	1	1	1	1	0	1	0
ENSRNOG00000000774	2331.95678	2234.9207	2303.92373	2534.88088	2000.96223	2240.9884	2537.88604
ENSRNOG00000000775	74	82.4041	62	67	63.3632	67	68.306
ENSRNOG00000000777	413.37467	238.3355	343.11369	259.6917	224.80871	322.6053	270.4036
ENSRNOG00000000778	180.43884	198.24988	223.47294	199.25141	151.55547	190.13079	192.82523
ENSRNOG00000000779	259.00039	206.99965	244.00004	217.0003	223.99988	252.00036	209.00005
ENSRNOG00000000780	855.9998	730.92072	872.9997	853.99965	660.9996	788.9999	809.0004
ENSRNOG00000000781	78	49.07899	63.99996	60.99998	41.99997	45.99995	37.00003
ENSRNOG00000000782	2	5	2	6	1	6	2
ENSRNOG00000000783	0	0	0	0	0	0	0
ENSRNOG00000000785	337.44512	253.15978	320.35086	298.64720898185	259.9949	336.0551358448	304.57879
ENSRNOG00000000786	351.00019	303.99993	345.00049	320.99956	260.00047	325.99998	283.00004
ENSRNOG00000000787	22.6039	13.9976	16.1211	16.6394	12.8605	23.9987	11.5959
ENSRNOG00000000795	186.82	146.912	153.075	155.054	164.919	143.888	156.938
ENSRNOG00000000796	4635.999	4234.995	5009	4381	3807.998	4675	4913
ENSRNOG00000000798	1219.00395	1093.99733	1179.00275	1155.0024	1010.99964	1046.9967	1120.00033
ENSRNOG00000000799	3975.9951	3377.9992	3861.998	3747.9979	3097.99986	3669.0019	3468.0021
ENSRNOG00000000800	1469.99982	1304.00024	1434	1368.9998	1157.99988	1356	1305.99964
ENSRNOG00000000801	106	67	115	78	83	104	76
ENSRNOG00000000802	187	169	164	183	120	150	170
ENSRNOG00000000804	714.42113	694.02815	653.12868	732.49358	628.06405	729.17551	722.65124
ENSRNOG00000000805	16612.2	15450.3	16977.1	19606.7	15931.4	17549.5	20029.2
ENSRNOG00000000808	1657	1485	1662	1509	1345	1708	1617
ENSRNOG00000000809	691.99993	685.999664	780.000462	745.00113	649.00053	699.99905	723.999742
ENSRNOG00000000811	1.02157	6.09863	6.11445	2.04295	2.0266	0	4.05562
ENSRNOG00000000812	812.73167	579.0715	747.91139	805.68413	602.71365	741.56219	645.70985
ENSRNOG00000000814	0	0	0	0	0	0	0
ENSRNOG00000000815	416	379	451	442	413	369	465
ENSRNOG00000000816	700	690.9999	695	760.000368	598.9998214	657	739.00030856
ENSRNOG00000000818	279.7195	206.99982	252.2841	249.9996	177.0001	235.6047	173.0004
ENSRNOG00000000823	432	438	512	406	360	444	408
ENSRNOG00000000824	320.9998	276.0001	310	352.9995	284.9999	345.0004	288.9995
ENSRNOG00000000825	0	4	2	2	0	1	5
ENSRNOG00000000826	3906.00402	3367.99501	3690.99794	3542.00492	2930.99594	3401.00343	3325.00255
ENSRNOG00000000827	774.9996	691	831.0003	720.0003	664.0004	753.0001	760.9998
ENSRNOG00000000831	490.9997	397.0002	495.9999	477.9998	430.0001	452.9998	460.0001
ENSRNOG00000000833	697	684.017	712	916	594	778	705
ENSRNOG00000000836	6	4	3	5	4	2	8
ENSRNOG00000000837	0.00899681	0.026418	0.0280173	0.132136	0.0540067	0.088509	0.0352994
ENSRNOG00000000838	0	1	0	1	2	0	1
ENSRNOG00000000839	395.10168	286.13878	318.34631	334.10727	251.06942	258.00038	270.00017
ENSRNOG00000000840	488.899	442.86116	578.6535	597.8922	496.92979	536.00002	571.99985
ENSRNOG00000000841	5948.43052	5258.93794	6172.69862	6085.20003	5125.54028	5897.9351	5787.4415
ENSRNOG00000000842	1520.0022	1160.0597	1445.0003	1558.0001	1216.9999	1294.9997	1276.0042
ENSRNOG00000000843	2	5	3	4	5	2	3
ENSRNOG00000000844	0	1	0	0	0	3	0
ENSRNOG00000000846	0	0	0	0	0	0	0
ENSRNOG00000000847	2212.8834	2032.87139	2204.9962	2290.92691	1917.5613	2122.9951	2094.9449
ENSRNOG00000000848	399.0001	348	424.9995	447	361.9995	417.0005	392.9998
ENSRNOG00000000850	29	36.99999	42.00003	26.00004	46.99996	28.99995	26.00004
ENSRNOG00000000851	6487.181	5910.528	5902.137	6795.59	5335.729	5858.587	5909.68
ENSRNOG00000000852	10009.00219	10262.00723	9536.9974	12953.0481	8932.9978	11178.9918	10305.99925
ENSRNOG00000000853	27.00004	19.99995	34.99999	27	36.00003	26.99997	27.00004
ENSRNOG00000000854	12	21	12	20	15	17	15
ENSRNOG00000000855	5	2	3	7	8	3	2
ENSRNOG00000000857	63	81	69	49	47	71	47
