gene	Dox_6	Dox_6	Dox_6	Dox_6	Dox_6	Dox_6	Dox_6
ENSRNOG00000000308	228.753	229.424	235.838	208.064	233.853	208.485	179.365
ENSRNOG00000000312	293	326	322	370	302	320	423
ENSRNOG00000000314	1307	1686	1462	1363	1249	1407	1377
ENSRNOG00000000316	143	126	118	114	125	75	104
ENSRNOG00000000320	0	0	2	0	0	0	0
ENSRNOG00000000321	174	192	179	102	154	156	163
ENSRNOG00000000322	454	469	515	440	404	440	511
ENSRNOG00000000323	28.0000000594127	23.000000775228	16	36.00000199343	20	11.000022	8.00000152195
ENSRNOG00000000327	388	452	439	364	311	360	396
ENSRNOG00000000335	4	8	10	2	6	7	3
ENSRNOG00000000340	2761.9995	2873.9968	3025.0036	2796.0037	2757.004	2889.0006	3207.0016
ENSRNOG00000000341	2722.68	2944.99000117932	2332.59	2741.54	2249.97	2052.5	2044.6
ENSRNOG00000000345	0	0	0	0	0	0	0
ENSRNOG00000000368	2	4	1	0	3	1	2
ENSRNOG00000000373	212	283	206	328	202	211	204
ENSRNOG00000000376	0	0	0	0	0	0	0
ENSRNOG00000000378	384.786	461.778	416.549	453.226	408.266	410.256	355.995
ENSRNOG00000000383	1134.99656	1064.00000013728	958.9997	802	905.9995	835.9999414	512.9999
ENSRNOG00000000384	2	1	2	1	1	0	0
ENSRNOG00000000386	19	20	36	17	18	25	35
ENSRNOG00000000387	641.5004	682.2669	629.53	696.4024	531.8422	511.694	616.613
ENSRNOG00000000390	80	94	86.5	119	83	76.5	89.5
ENSRNOG00000000392	836.9996	865.0001	862.9999	946.0005	783.9998	812.0002	827.9998
ENSRNOG00000000394	44.7871	54.8139	60.698	64.0022	46.68533	51.9463	52.9245
ENSRNOG00000000395	1179	1234	1176	1055	1089	1147	1306
ENSRNOG00000000396	512	493.0004	576.0003	561.000061	468.9996	479.0004	527.9999
ENSRNOG00000000397	1684	2117	2091	2063	1688	1606	1804
ENSRNOG00000000398	321	378	384	503	335	300	356
ENSRNOG00000000401	0	0	1	0	0	0	0
ENSRNOG00000000405	0	0	0	2	0	0	1
ENSRNOG00000000406	27	25	24.00002	26	7	24	24
ENSRNOG00000000407	372	376	334	333	309	275	331
ENSRNOG00000000408	451.244	551.558	577.956	484.519	469.756	507.071	463.267
ENSRNOG00000000410	2	2	0	1	2	3	1
ENSRNOG00000000411	735.013	841.962	868.492	1004.97	764.97	811.976	704.969
ENSRNOG00000000412	45	53	46	40	43	34	47
ENSRNOG00000000413	17578	19649	21476	24145	17574	20679	26018
ENSRNOG00000000414	218	219.99973	190	197.0005	157	186	157
ENSRNOG00000000415	893	890	931	942	921	922	1000
ENSRNOG00000000417	2455.455	2837.85	2030.026	2431.299	2068.248	1912.532	1947.412
ENSRNOG00000000418	63	53	50	72	52	58	48
ENSRNOG00000000419	46.25833	23.70348	44.7566	30.1996	51.0621	18.433	10.9169
ENSRNOG00000000420	787.9996	798	828.0003	805	749.0003	754	635.9999
ENSRNOG00000000421	980	1087	935	949	870	879	838
ENSRNOG00000000422	340	316	347	371	295	278	334
ENSRNOG00000000423	79	71	87	82	79	95	84
ENSRNOG00000000428	8	4	4	8	2	9	7
ENSRNOG00000000431	1651.99636	1701.003813	1391.99743993	1688.0003233	1447.00062	1442.001565	1412.0015
ENSRNOG00000000432	303	263	289	309	235	232	276
ENSRNOG00000000433	3	9	5	6	3	4	6
ENSRNOG00000000435	442.999570698259	398.00049001363	437.99988	430.99962854	371.00041	335.00031	460.999860141244
ENSRNOG00000000436	42	33.00001	37	18.00003	38	17	34.00003
ENSRNOG00000000437	2014.99817	2230.00064	2015.99818	2070.99544	1747.99546	1750.00026	1911.00173008926
ENSRNOG00000000438	1261.99698	1305.00388	1269.99936	1319.99505	1116	1170	1057
ENSRNOG00000000439	35.99997473	26	41.000048273	28.000050052077	30.99995	36.00001	25.99999
ENSRNOG00000000440	387	413	386	332.00022	362	325	277
ENSRNOG00000000441	39	36	28	30	26	29	29
ENSRNOG00000000442	201	188	134	279	147	117	114
ENSRNOG00000000443	59.8005	68	53.7085	47.8651	63.3446	44.0495	51.7716
ENSRNOG00000000446	0.5	0	0	1	0	0	0
ENSRNOG00000000451	6	12	12.9999809	11	11	13	7
ENSRNOG00000000454	1	0	2	2	1	0	0
ENSRNOG00000000455	212.261	172.544	156.231	141	175.116	115.681	156.604
ENSRNOG00000000456	110.23793	101.38565	120.27362	57.18088	93.01301	72.14869	99
ENSRNOG00000000457	2560.80051	2568.3012	2329.44252	2068.46537	2169.59829	1957.20831	2295.83536
ENSRNOG00000000459	294.0005	278.9998	341	186	241	230.00021	268.9998
ENSRNOG00000000461	3441.9968	3292.0015	3019.9968	3241.0035	2703.99892	2438.0021	2525.9998
ENSRNOG00000000463	42	45.53738	40.570782	34.00001	24.5757	36.99999	28.0893
ENSRNOG00000000464	765.99972	788.99951	761.00019	834.99948	778.0004	681.99994	705.99986
ENSRNOG00000000465	2967.00261	2947.0029	2868.00502	2755.00359	2692.99921	2509.99604	2664.00441
ENSRNOG00000000466	710.99958	678.99991	653.00009	701.99952	699.00031	604.00043	626.99958
ENSRNOG00000000467	731	744	680	741	616	614	591
ENSRNOG00000000470	2247.80804	2457.8282	2382.6274	2436.5788	2100.16532	2129.0457	2036.17692
ENSRNOG00000000471	20	30	24	29	35	21	24
ENSRNOG00000000473	1247.998	1360.0011	1374.0042	1535.00098	1237.99886	1265.9989	1258.00165
ENSRNOG00000000474	1397.2235	1342.35876	1487.1524	1244.231	1233.1512	1192.8689	1090.8528
ENSRNOG00000000476	229	278	270	246	191	236	183
ENSRNOG00000000477	862.79076	811.37170032411	870.35999984	826.1662801165	763.4139	708.9874145091	789.17904
ENSRNOG00000000479	455	508	458	429	471	358	326
ENSRNOG00000000480	260.0002	258.0002	306.00030704	235.99978	263.0003	216.00022	231.0005
ENSRNOG00000000481	1567.9997	1615.0009	1684.9991	1538.9993	1441.0012	1516.0003	1637.999
ENSRNOG00000000483	748.9997	807.9996	675.9999	642.9997	616.0004	567.99992	488.0001
ENSRNOG00000000485	1013.99831	1054	981.99959	949	850.99979	861	849.99974
ENSRNOG00000000486	11	4	4	2	2	9	4
ENSRNOG00000000488	1709	1785.87	1707.87	1980	1460	1595	1431
ENSRNOG00000000490	3670.36	3818.95	4182.47	3914.79	3658.53	4004.42	4121.24
ENSRNOG00000000491	1	1	1	1	1	1	2
ENSRNOG00000000493	821.406	848.34	969.128	886.478	816.836	912.514	970.109
ENSRNOG00000000495	1118	1190	858	950	918	796	742
ENSRNOG00000000498	333	437	352.0004	358	302	327	383
ENSRNOG00000000499	1	1	4	1	3	1	2
ENSRNOG00000000500	344	332	223	292	255	222	246
ENSRNOG00000000501	595	689	585	616	598.0004	523	575.0003
ENSRNOG00000000502	426.506	421.019	341.57	279	330.386	293.831	336.951
ENSRNOG00000000503	765.887	894.788	669.0076	660.0443	591.5888	535.5605	708.893
ENSRNOG00000000504	654	636	627	793	590	606	689
ENSRNOG00000000505	12041.1	11761.7	11708.5	11338.8	11142	11733	11942.7
ENSRNOG00000000506	1277.04	1347.58	1272.56	1175.31	1060.44	1030.18	992.741
ENSRNOG00000000507	2	6	2	6	6	2	2
ENSRNOG00000000508	0	0	1	0	0	0	0
ENSRNOG00000000510	0	0	0	0	0	0	0
ENSRNOG00000000511	859.9996	924	848	851	779.99953	739.99969	802.99961
ENSRNOG00000000512	87.99997455	95	102.000007986	118.00001	82.9999	55.999985	85.0001
ENSRNOG00000000513	1602	1795.005	1664	1642	1505	1441	1693
ENSRNOG00000000515	20.7388	27.6374	35.8742	21.946	21.5709	17.6789	18.4258
ENSRNOG00000000516	1	0	0	0	3.000004	0	7
ENSRNOG00000000517	448.00026	463.00037	347.9997	398.99951	355.99971	361.00004	339.9996
ENSRNOG00000000519	1205.75275	1330.76345	1231.8259	1188.99218	1089.08985	1058.64692	1262.05794
ENSRNOG00000000520	2412.169	2895.835	3056.901	2119.307	2373.576	2678.547	2656.824
ENSRNOG00000000521	16327.98	15625.71	15395.99	14806.03	13831.85	11738.98	10223
ENSRNOG00000000522	15.5927	32	14.5896	12	12.4888	15	19.4622
ENSRNOG00000000523	460	461	496	385	377	421	457
ENSRNOG00000000524	1206.99957	1324.00053	1235.99993	1377.16009	1133.99975	1275.00022	1238.00023
ENSRNOG00000000525	106.0001	93.00005	96.9999845694	83.99998	104.99997	74.99997	114.00003
ENSRNOG00000000527	8703.00109	9157.99976	8902.001	9182.99975	7675.99145	7972.9911	7609.99664
ENSRNOG00000000528	7	10	9	0	6	6	1
ENSRNOG00000000529	157	162	133	151	114	108	122
ENSRNOG00000000531	143	179	188	152	153	156	233
ENSRNOG00000000532	1607.9999	1644.995	1541.9956	1647.9971	1450.0049	1466.0045	1573.9974
ENSRNOG00000000536	238.16	209	188	215.551	210	153	160
ENSRNOG00000000540	144	123	125	98	116	90	100
ENSRNOG00000000541	3056	2936	3187	2639	2857	3003	3127
ENSRNOG00000000542	6	1	4	6	2	5	2
ENSRNOG00000000543	84.1218	89.1057	92.12	80.3073	74.1307	64.2849	74
ENSRNOG00000000546	99	132	115	138	109	109	110
ENSRNOG00000000547	31	57	64	50	27	25	44
ENSRNOG00000000549	2608	2752	2768	2441	2403	2272	2614
ENSRNOG00000000551	16	19	20	23	10	29	21
ENSRNOG00000000552	14	25	25	26	23.99996	21.99995	16
ENSRNOG00000000556	10	18	15	14	21	19	9
ENSRNOG00000000557	4620.0016	4908.995	5051.0009	4976.004	4270.0001	4579.0011	4816.0006
ENSRNOG00000000559	0	0	2	0	0	1	0
ENSRNOG00000000560	199	181	201	219.00012	194	153.00033	170
ENSRNOG00000000561	322	351	293	281.9996	301	288.99964	357.0004
ENSRNOG00000000562	14	22	29	44	16	14	19
ENSRNOG00000000563	67	70	63.99997	46	59.99997	66.00001	54
ENSRNOG00000000564	4	1	2	0	2	2	6
ENSRNOG00000000565	897	1005	815	923	787	774	954
ENSRNOG00000000566	269	283	299	144	245	313	319
ENSRNOG00000000567	1217.9	1236.15	1033.02	987.303	1039.46	798.71	697.217
ENSRNOG00000000568	351.302	384.583	355.311	314.204	350.882	283.459	296.467
ENSRNOG00000000569	52	52	47	42	53	49	40
ENSRNOG00000000571	12499	13217	12015	12389	10511	10308	11070
ENSRNOG00000000572	311.169	358.367	255.824	261.524	285.438	213.737	223.042
ENSRNOG00000000574	0	0	0	0	1.00244	1.0025	1.00172
ENSRNOG00000000576	604	517	581	658	580	527	557
ENSRNOG00000000579	1521	1554.97	1572	1396.98	1337.95	1126	700
ENSRNOG00000000580	6	10	4	7	3	3	8
ENSRNOG00000000581	608	693.0003	706.0004	614.9996	547.9998	610.0007	718.9992
ENSRNOG00000000582	0	2	0	0	1	2	0
ENSRNOG00000000583	456	527	503	456	444	454	511
ENSRNOG00000000585	2302	2879	2816	3409	2161	2776	2935
ENSRNOG00000000586	418	521	498	490	440	501	415
ENSRNOG00000000587	315	395	415	447	373	353	372
ENSRNOG00000000588	376.0002	393.99971	375.9997204	428.99974	324	337.9997	407
ENSRNOG00000000589	9.0544	8.05475	4.25794	11.1853	3.08829	10	7.60444
ENSRNOG00000000590	14.8789	13.3757	9.07059	18.1874	11.7399	12.5117	11.1819
ENSRNOG00000000593	571.8754	814.6935	640.6331	715.5042	609.9047	601.694	571.6464
ENSRNOG00000000595	59	82	66	78	62	57	61
ENSRNOG00000000596	454.00001	448	414.9997	425.0003	403.0003	364.0004	415.00032
ENSRNOG00000000597	0	2.81643	2.79013	2.89354	1.40635	1.30217	2.6335
ENSRNOG00000000598	196	217.184	202.21	233.106	207.594	160.698	191.366
ENSRNOG00000000599	5450	5952	4560	4628	4257	4041	3554
ENSRNOG00000000604	2462	2776	2906	2375	2347	2493	2576
ENSRNOG00000000605	0	2	2	5	2	1	0
ENSRNOG00000000606	0	0	1	0	0	0	0
ENSRNOG00000000607	0	0	0	0	0	1	0
ENSRNOG00000000609	614.539	670.283	589.348	569.421	540.418	558.645	620.488
ENSRNOG00000000610	2844	2866	2924	3418	2581	2799	2772
ENSRNOG00000000611	574	545	491	537	522	416	581
ENSRNOG00000000613	959	978	1079	1039	934	990	873
ENSRNOG00000000614	719	778	657	610	626	687	702
ENSRNOG00000000618	0	2	4	2	0	3	1
ENSRNOG00000000620	4	0	0	0	1	1	1
ENSRNOG00000000622	7385	7083	7064	6774.85	6885.85	7088	7443.85
ENSRNOG00000000630	0	0	0	2	0	0	0
ENSRNOG00000000632	433.0003	416.00036	471.9996	354.9998	410.9996	377.0003	332.9997
ENSRNOG00000000633	589.1047	520.3973	500.9051	481.0855	475.29258	432.49359	451.14066
ENSRNOG00000000634	674	673	814	761	658	761	717
ENSRNOG00000000636	85.1537	80.1937	60	77	62	52	52
ENSRNOG00000000638	478.029	475.14	433.657	311.321	390.177	343.008	289.293
ENSRNOG00000000639	316	383	313	372	270	259	250
ENSRNOG00000000640	177	153	124	116	108	103	78
ENSRNOG00000000641	402.49	347.066	391.962	357.69	319.948	328.673	338.78
ENSRNOG00000000645	1976	2409	2256	2048	1917	2144	2168
ENSRNOG00000000648	1185	1535	1228	1476	1104	1245	1090
ENSRNOG00000000650	0	0	0	0	0	0	0
ENSRNOG00000000653	9	14	8	10	10	5	3
ENSRNOG00000000655	39.13878	56.8765	42.21206	45.37382	55.75876	58.5573	42.249300900758
ENSRNOG00000000657	512	635	568	509	476	552	621
ENSRNOG00000000658	3077.0039	3535.9962	2730.0043024	3158.9985110825	2529.99968017909	2809.000470709	2751.99626173
ENSRNOG00000000661	95	71	84	128	60	80	72
ENSRNOG00000000662	28	18	28	38	26	16	26
ENSRNOG00000000663	882	953	838	975	776	801	739
ENSRNOG00000000664	599	630	568	508	511	541	490
ENSRNOG00000000665	1464	1541.004	1550.002	1316	1333	1308	1394
ENSRNOG00000000691	0	2	1	0	0	0	1
ENSRNOG00000000692	680	647	618	659	508	492	518
ENSRNOG00000000693	69.9268	47.9066	49	42	67	30	36
ENSRNOG00000000695	211	267	161	252	206	164	181
ENSRNOG00000000697	1891	1834	1686	1563	1573	1502	1286
ENSRNOG00000000699	61	78	53	81	52	49	65
ENSRNOG00000000700	286	263	247	202	224	228	183
ENSRNOG00000000701	2369	2401	2595	2205	2231	2224	2349
ENSRNOG00000000702	1415	1410	1289	1352	1212	1211	1305
ENSRNOG00000000704	51.5756	67.8201	54.6306	76.2877	45.181	50.6397	49.8098
ENSRNOG00000000708	3	2	3	6	2	2	2
ENSRNOG00000000713	0	0	0	0	0	0	0
ENSRNOG00000000715	1	0	0	1	3	0	0
ENSRNOG00000000716	0	0	0	1	0	0	0
ENSRNOG00000000718	1615	1689	1723	1547	1577	1612	1694
ENSRNOG00000000720	163	145.365	146	144	144	140	113
ENSRNOG00000000723	689.3866	643.9493	580.7511	529.4804	504.1672	498.1204	473.6729
ENSRNOG00000000726	0	0	0	0	0	0	0
ENSRNOG00000000728	200	238	270	209	187	235	305
ENSRNOG00000000729	327.0406	375.01812	358	340.044210169809	285	366	464
ENSRNOG00000000746	0	0	0	0	1	0	0
ENSRNOG00000000747	0	0	0	0	0	0	0
ENSRNOG00000000748	13.4133	16.8232	11.5031	13.2014	3.48443	13.4938	11.9489
ENSRNOG00000000749	0	0	0	0	0	0	0
ENSRNOG00000000759	0	0	0	0	0	0	0
ENSRNOG00000000763	53.0877	31.1089	38.1028	32.0952	42.0841	24.0717	57.3407
ENSRNOG00000000765	0	0	0	0	0	1	0
ENSRNOG00000000767	1	1	0	1	1	0	0
ENSRNOG00000000768	0	0	0	1	0	0	0
ENSRNOG00000000774	1563.949	1733.9924	1777.69692	1435.185	1431.32804	1473.31361	1634.30623
ENSRNOG00000000775	79	94	80.451	71	54.3176	56	45
ENSRNOG00000000777	497.36753	468.33984	500.8158	388.30223	431.21314	392.34031	397.1664
ENSRNOG00000000778	95.34417	96.1772	123.98867	117.33141	93.95669	123.518128	112.73873
ENSRNOG00000000779	149.99995	180.99947	148.0002	184.00037	155.99984	162.99997	179.9997
ENSRNOG00000000780	886.00037	838.99969	841.9999	896.00033	815.9995	829.00036	749.99964
ENSRNOG00000000781	81.99996	90.00004	74.99999	71	66	72.99999	50
ENSRNOG00000000782	2	2	4	2	6	2	4
ENSRNOG00000000783	0	0	0	0	0	0	0
ENSRNOG00000000785	313.701087	322.7072	314.678700013997	360.56209	233.09132	274.74606	232.7714
ENSRNOG00000000786	594.00079	639.00115	698.99931	599.00056	602.9992	565.00001	551.99935
ENSRNOG00000000787	11.0247	10.5513	10.3194	15.4881	5.53757	11.8451	2.20054
ENSRNOG00000000795	180.949	170.958	175.98	91.054	167	139	126.218
ENSRNOG00000000796	2004.999	3068.999	2525.005	3427.003	2366.998	2734.996	2721.005
ENSRNOG00000000798	1484.9985	1452.9987	1521.00276	1306.99861	1387.00154	1380.00495	1274.99701
ENSRNOG00000000799	4672.9963	4721.0007	4834.9985	5625.0016	4138.003	4224.9954	4129.9959
ENSRNOG00000000800	789.9999	886	762.0001	840.99923	680.00032	679	809.99957
ENSRNOG00000000801	181	163	167	150	132	130	119
ENSRNOG00000000802	59	73	48	63	57	78	73
ENSRNOG00000000804	850.7522	956.37314	898.82242	1120.31105	777.23571	705.10094	868.06563
ENSRNOG00000000805	2009.7	2131.39	2162.09	2437.06	1725.72	1558.45	1581.35
ENSRNOG00000000808	1130	1207	1262	1079	1030	1178	981
ENSRNOG00000000809	508.00035	535.000228	593.000525701	498.999814	422.999664	474.000131	506.99973
ENSRNOG00000000811	3.0085	4.12775	6.01363	1.06117	1.00446	5.04707	3.00929
ENSRNOG00000000812	182.4241	198.63045	234.41057	194.59	184.16543	156.56126	189.432
ENSRNOG00000000814	0	0	0	0	0	0	0
ENSRNOG00000000815	305	319	309	215	278	302	368
ENSRNOG00000000816	720.00011	725.9996	696.000442	624.9995	611	578.99963	607.00033
ENSRNOG00000000818	193.99964	206.00017	216.75127	201.4522	199.00003	212.00025	214.99962
ENSRNOG00000000823	332	408	408	447	334	396	382
ENSRNOG00000000824	423.000000013266	410.0003	423.9998	384.9996	387	356.00037	335
ENSRNOG00000000825	6	2	3	8	3	1	3
ENSRNOG00000000826	3748.99886	3506.00007	3487.0015	2385.00216	3557.00186	3025.99707	2510.00053
ENSRNOG00000000827	410.00033	345.00045	359.0001	375.0001	340.00002	270.99963	194
ENSRNOG00000000831	326.00005	335.0005	302.9996	314.9997	344.0002	286.0001	341.9999
ENSRNOG00000000833	629	703	509.0101	703.013	578.0002	484.9997	474
ENSRNOG00000000836	2	6	4	3	7	4.000005	3
ENSRNOG00000000837	0.0377865	0.0319743	0.0620657	0.0190193	0.0247526	0.0804063	0.0275573
ENSRNOG00000000838	0	0	0	0	0	0	0
ENSRNOG00000000839	188.03022	178.27137	157.00005	157.41611	165.00038	167.04058	138.9998
ENSRNOG00000000840	592.9699	541.729	493.9995	682.5846	529.9997	500.9587	541.9999
ENSRNOG00000000841	3928.6062	4125.483	4077.42503	4650.00042	3611.323	3641.23233	3481.08445
ENSRNOG00000000842	1052.7076	982.172	1017.9999	821.7361	956.9997	879.0004	662.9997
ENSRNOG00000000843	2	0	3	1	4	1	0
ENSRNOG00000000844	0	1	0	0	0	0	0
ENSRNOG00000000846	0	0	0	0	0	0	0
ENSRNOG00000000847	2890.7028	2882.9561	3057.7145	2859.4162	2623.98804	2729.0728	2754.8367
ENSRNOG00000000848	358	328.0002	382.0004	287	313	279.0002	263.9996
ENSRNOG00000000850	39.99997	45	45	61.00002	56.00003	44	50
ENSRNOG00000000851	6731.045	7198.36	6186.193	7301.88	5493.898	5502.212	5134.529
ENSRNOG00000000852	7273.9985	7909.99919	5404.00295	6969.0007	5988.0002	4018.00236	4077.999
ENSRNOG00000000853	58	52.00005	48	60.99999	53.00001	52.00003	51.00004
ENSRNOG00000000854	22	13	24	17	26	26	22
ENSRNOG00000000855	12	7	6	7	5	4	5
ENSRNOG00000000857	37	31.00005	37	23.99998	32	26.00002	16
ENSRNOG00000000858	126	113	126	107	106	81	101
ENSRNOG00000000860	550	562	426	543	507	367	265
ENSRNOG00000000861	18.0604	21.1666	13.1487	11.1454	8.04025	7	10.0686
ENSRNOG00000000866	776	869	819	835	773	834	671
