gene	DMSO2_6	DMSO2_6	DMSO2_6	DMSO2_6	DMSO2_6	DMSO2_6	DMSO2_6
ENSRNOG00000000164	2564	2475	2434	2825	2606	2336	2328
ENSRNOG00000000165	22	14	15.00001	25.00004	14	17	18
ENSRNOG00000000166	104	122	94	123	108	102	103
ENSRNOG00000000167	6	9	5	5	6	1	2
ENSRNOG00000000168	339	400	305	425	424	421	395
ENSRNOG00000000169	231.956	287.74	255.228	263.241	253.819	285.175	239.491
ENSRNOG00000000170	1214	1257	1147	1494	1240	1145	968
ENSRNOG00000000172	196	209	183	191	180	177	186
ENSRNOG00000000175	370.9996	423.0003	395.0005	516.9997	396	436.9999	407.9999
ENSRNOG00000000177	183	221	175	197	161	175	228
ENSRNOG00000000184	24	24	15	19	25	18	23
ENSRNOG00000000185	1294	1243	1216	1277	1241	1119	1197
ENSRNOG00000000186	857	914	836	952	891	855	945
ENSRNOG00000000187	124	169	133	207	198	202	153
ENSRNOG00000000190	400	595	335	711	569	552	394
ENSRNOG00000000195	338.485	539.952	404.555	663.118	406.63	429.921	400.793
ENSRNOG00000000196	10.7435	11.5009	9.49425	12.861	11.3746	9.49788	6.82397
ENSRNOG00000000199	0	0	0	0	1	0	0
ENSRNOG00000000201	237.434	208.446	230.146	214.721	201.477	220.816	201.408
ENSRNOG00000000204	1624.8732	1789.9229	1770.9783	2062.9072	1784.9798	1761.956	1587.9653
ENSRNOG00000000219	1106	1235	1099	1267	1140	1197	1208
ENSRNOG00000000221	804	787	856	924	792	796	739
ENSRNOG00000000230	407.482	435.48	378.291	470.183	424.674	438.224	405.753
ENSRNOG00000000231	565	657	533	718	651	627	652
ENSRNOG00000000233	25.5362	24.7996	21.7638	39.9941	19.655	36.6205	23.6741
ENSRNOG00000000236	2625	2797	2518	3140	2762	2698	2632
ENSRNOG00000000237	244	258	250	306	268	265	243
ENSRNOG00000000239	196	258	181	254	258	184	225
ENSRNOG00000000244	178	228	213	231	210	210	235
ENSRNOG00000000245	174.9999	199.9999	152.9999	215.9997	169.00001	185.9997	154.0002
ENSRNOG00000000246	1139	1200	1102	1351	1153	1128	1066
ENSRNOG00000000247	527	554	497	637	617	529	505
ENSRNOG00000000248	5666	6539	5617	6333	5544	5760	5697
ENSRNOG00000000249	146	173	127	131	160	156	150
ENSRNOG00000000250	573	610	532	628	528	539	492
ENSRNOG00000000251	5	4	9	8	7	4	7
ENSRNOG00000000252	1	0	0	1	2	1	0
ENSRNOG00000000257	25	21	32	21	28	37	40
ENSRNOG00000000258	776	878	822	885	780	752	833
ENSRNOG00000000262	442	458	400	544	475	452	479
ENSRNOG00000000264	781	944	734	933	840	845	801
ENSRNOG00000000274	11	13	14	19.99997	18.00003	22	20.00001
ENSRNOG00000000275	36	43	29	36	36	48	26
ENSRNOG00000000277	248	326	258	435	345.00000582121	397	299
ENSRNOG00000000279	1058	1272	1088	1270	1252	1120	1146
ENSRNOG00000000281	260	308	241	328	306	239.0003	250.0004
ENSRNOG00000000282	0	0	0	0	0	0	1
ENSRNOG00000000283	556	626	514	655	589	585	565
ENSRNOG00000000288	645	774	663	748	685	806	746
ENSRNOG00000000299	777	829.0002	680.99977	955	872.0002	870.0004	671.99957
ENSRNOG00000000302	986.9999	1063.0004	1073	1085.00215401	1034	1043	928
ENSRNOG00000000303	304	322	311	312	320	282	287
ENSRNOG00000000304	5280	5901	5164	6707	5945	5616	5211
ENSRNOG00000000306	306	359	319	322	322	329	359
ENSRNOG00000000307	425	479	434	538	478	537	505
ENSRNOG00000000308	227.133	232.254	235.436	284.297	228.921	212.098	226.14
ENSRNOG00000000312	574	552	549	696	549	608	536
ENSRNOG00000000314	1710.001	1754	1601	2128.995	1944	1747.999	1558
ENSRNOG00000000316	237	310	223	363	303	299	262
ENSRNOG00000000320	0	0	0	0	0	1.00273	0
ENSRNOG00000000321	83	78	90	77	88	68	89
ENSRNOG00000000322	617	597	653	722	528	591	612
ENSRNOG00000000323	136.9995	154.9997	128.9996	160.000076	162.9997	151	88
ENSRNOG00000000327	512	518	456	551	543	491	480
ENSRNOG00000000335	32	47	35	37	55	32	42
ENSRNOG00000000340	3164.9988	3396.9951	3247.9963	3235.9971	2841.9952	2755.0006	3285.0029
ENSRNOG00000000341	2566.8	3067.86	2236.87	3714.11	3309.45	3253.15	2543.48
ENSRNOG00000000345	0	0	0	0	1	0	0
ENSRNOG00000000368	3	1	7	3	4	5	1
ENSRNOG00000000373	220	256	224	320	300	328	231
ENSRNOG00000000376	0	0	0	0	0	0	0
ENSRNOG00000000378	292.162	278.292	303.815	404.947	296.356	362.257	310.809
ENSRNOG00000000383	1153.0000000163	1287	972	1558.000121756	1362	1386	1134
ENSRNOG00000000384	0	0	0	3	0	1	0
ENSRNOG00000000386	46	46	42	45	39	40	33
ENSRNOG00000000387	509.633	502.3056	456.436	497.948	510.049	526.128	480.0164
ENSRNOG00000000390	107.5	118.5	101.5	110.5	103.5	133	105.5
ENSRNOG00000000392	861	886.0004	886.9997	986.0003	918.0001	903.9997	844
ENSRNOG00000000394	61.12814	76.56855	63.38175	54.96928	61.8724	48.79	68.5937
ENSRNOG00000000395	1266	1332	1198	1377	1232	1195	1238
ENSRNOG00000000396	956.9997	929	959	1115	1089.9959	918.9997	944.0004
ENSRNOG00000000397	1504	1665	1550	2067	1797	1820	1617
ENSRNOG00000000398	307	320	303	421	332	362	309
ENSRNOG00000000401	0	0	0	0	0	0	0
ENSRNOG00000000405	0	0	0	0	0	1	0
ENSRNOG00000000406	32	40	44.00004	43.00001	45	42.00001	36
ENSRNOG00000000407	232	224	214	261	239	219	205
ENSRNOG00000000408	779.649	733.73	748.177	932.683	732.512	788.146	654.342
ENSRNOG00000000410	0	0	0	0	0	3	0
ENSRNOG00000000411	1256.18	1386.22	1358.97	1245.14	1186.94	1144.8	1239.58
ENSRNOG00000000412	69	66	69	80	77	55	47
ENSRNOG00000000413	45793	45794	44666	49158	45703	43093	43989
ENSRNOG00000000414	159.99958	186	184	199	170.0002	167	147
ENSRNOG00000000415	771	848	773	836	742	789	808
ENSRNOG00000000417	3595.07	3999.08	3434	4865.99	4315.51	4163.24	2849.72
ENSRNOG00000000418	257	267	252	297	258	254	229
ENSRNOG00000000419	0	15.34939958	7.6074	5.64309	26.78927	22.122	8.45433
ENSRNOG00000000420	757.0006	872.0003	800.0002	884.0003	776.0002	750.0004	852.0006
ENSRNOG00000000421	1038	1118	994	1119	1099	1060	921
ENSRNOG00000000422	332	306	261	343	279	267	320
ENSRNOG00000000423	125	158	130	164	138	138	147
ENSRNOG00000000428	6	14	2	20	17	13	11
ENSRNOG00000000431	1523.0038	1726.99652	1448.00338	1910.00239	1602.99948	1645.99982	1519.00165
ENSRNOG00000000432	280	267	266	261	309	289	305
ENSRNOG00000000433	13	10.000000190435	13	15.00004	16	12	6
ENSRNOG00000000435	637.999990127208	735.9998	636.00006	767.99955	705.99953	689.999760142458	669.00000258702
ENSRNOG00000000436	18.99998	14.01222	17	28	20.00001	26.00003	33.99995
ENSRNOG00000000437	1800.99546	2098.99014	1733.00358	2253.00404	2059.00338	2121.00136	1946.00397
ENSRNOG00000000438	1145.00126	1231	1260.99572	1138.99607	1030.00308	1081.00262	1244
ENSRNOG00000000439	23.999947	24.9999876	26.00004431207	32.9999574202	29.00002	33	20.99998753339
ENSRNOG00000000440	939	1094.00387	916	1182	1047	1120	1025.99707
ENSRNOG00000000441	45	39	39	40	33	44	46
ENSRNOG00000000442	244	294	240	368	302	319	196
ENSRNOG00000000443	36.5954	61.1556	38.3299	61.4296	56.0623	72.2286	49.5151
ENSRNOG00000000446	0	0	0	0.5	0	0	0
ENSRNOG00000000451	4	14.000042	6	7	5	7	7
ENSRNOG00000000454	0	0	0	0	0	1	1
ENSRNOG00000000455	180.519	231.862	205.211	150.651	247.345	214.913	201.664
ENSRNOG00000000456	145.0216	125.0256	140.078162	126.048248	103.25517	93.0955	129
ENSRNOG00000000457	306.4642	339.3232	278.23896	368.7771	361.60577	286.8736	330.2841
ENSRNOG00000000459	190.9999	193	173.9998	153.9998	153	151.0001	219.0002
ENSRNOG00000000461	4183.9999	4760.00053	3939.00422	5194.0003	4682.00377	4600.00045	4081
ENSRNOG00000000463	18.67663	17	21.99998	25	24.00002	14.7005106	21.00001
ENSRNOG00000000464	925.00037	1065.99963	874.99965	931.99997	864.99946	1003.0003	945.99982
ENSRNOG00000000465	3044.00397	3220.99657	2801.002	3409.99896	3096.99724	3000.00369	3028.0017
ENSRNOG00000000466	548.00047	625.99998	611.00018	677.00002	606.99957	624.99998	692.9999
ENSRNOG00000000467	868	881	771	933	730	768	775
ENSRNOG00000000470	2079.99082	2128.3228	1860.15196	2172.34411	2033.0117	2133.30991	1874.91564
ENSRNOG00000000471	119	124	110	146	118	128	130
ENSRNOG00000000473	1358.9959	1444.9974	1315.00059	1398.99898	1163.99988	1202.0003	1319.0012
ENSRNOG00000000474	1106.90008	1250.9754	1151.31802	1240.91849	1187.21722	1184.50095	1126.06236
ENSRNOG00000000476	812	975	821	965	793	946	817
ENSRNOG00000000477	616.3503	688.1252	648.55147	736.6377	659.9085	752.44533	676.107
ENSRNOG00000000479	576	733	622	665	642	631	640
ENSRNOG00000000480	266.9996	333.9995	284.99996	311.00028	318.00006	339.99995	311.99977
ENSRNOG00000000481	1376.9999	1536.0003	1352.9998	1410.0005	1135.9999	1221.0004	1343.9999
ENSRNOG00000000483	949.0002	1253.0025	911.9998	1524.9992	1273.0045	1446.9977	1120.9999
ENSRNOG00000000485	1363	1630.99675	1370.00308	1740.00199	1354.99909	1549.99545	1570.99841
ENSRNOG00000000486	16	10	8	7	9	7	8
ENSRNOG00000000488	1549	1845	1516	1821	1465	1663	1539
ENSRNOG00000000490	3662.08	3713.08	4121.13	3538.51	2782.07	2742.37	3528.05
ENSRNOG00000000491	1	1	0	5	3	4	3
ENSRNOG00000000493	733.543	796.256	636.851	770.75	677.895	599.09	701.196
ENSRNOG00000000495	961	1171	913	1342	1205	1089	842
ENSRNOG00000000498	1132	1277	1054	1330	1254	1244	961
ENSRNOG00000000499	2	1	0	4	2	1	0
ENSRNOG00000000500	59	73	60	95	106	82	65
ENSRNOG00000000501	780	859	687	824.0005	837.9999	816	764
ENSRNOG00000000502	112.191	126	139.076	122.354	122.789	132.915	149.644
ENSRNOG00000000503	914.9408	1216.9247	857.2595	1351.5018	1287.8336	1319.624	1154.5135
ENSRNOG00000000504	409	452	371	418	405	456	446
ENSRNOG00000000505	10604.5	11309.9	10903	11044.5	9238.29	8616.99	11569.5
ENSRNOG00000000506	946.511	1045.47	872.142	1165.85	1051.48	1068.8	1074.94
ENSRNOG00000000507	0	0	3	2	0	2	0
ENSRNOG00000000508	0	0	0	0	0	0	0
ENSRNOG00000000510	0	0	0	0	0	0	0
ENSRNOG00000000511	853.99985	892	802	929.9998	852	861	775
ENSRNOG00000000512	102	107.99999	79.00006	124	118.9999448	116	92.9999
ENSRNOG00000000513	1832.001	1905.999	1744.003	2013	1894.002	1863	1580
ENSRNOG00000000515	20.0281	12.8503	24.9847	17.4645	15.8954	27.2705	13.9696
ENSRNOG00000000516	1	1	1	1	0	1	1
ENSRNOG00000000517	306.0002	345.99967	324.0001	420.9996	373.00033	365.0003	307.00002
ENSRNOG00000000519	1188.26282	1200.07445	1108.86524	1444.29697	1254.98831	1335.15722	1118.57925
ENSRNOG00000000520	5801.845	6113.767	5885.833	6237.474	5599.614	5747.667	5059.348
ENSRNOG00000000521	2637.412	3119.413	2743.415	3130.999	2736.001	3015.996	2986.999
ENSRNOG00000000522	52.9466	59.7926	31.0012	65	52.0034	58.9826	50.6668
ENSRNOG00000000523	679	777	641	855	670	643	712
ENSRNOG00000000524	1637.9996	1593.00055	1485.9995	1731.00065	1435.00031	1525.00089	1542.0007
ENSRNOG00000000525	137.9999	134.00006	142.99992	174.00015	147.9999	150.000001	174.00032
ENSRNOG00000000527	8455.99438	8445.00227	7515.00245	7425.00079	6485.99996	7002.0019	7807.00413
ENSRNOG00000000528	7	10	6	18	12	9	12
ENSRNOG00000000529	232	226	222	319	253	239	233
ENSRNOG00000000531	222	256	227	275	220	196	199
ENSRNOG00000000532	2261.002	2364.0008	2070.996	2634.996	2321.9965	2296.9977	2166.0001
ENSRNOG00000000536	67	91.3398	61	118	89	82.2902	75
ENSRNOG00000000540	278	293	287	369	327	306	275
ENSRNOG00000000541	2648	2705	2689	2771	2455	2259	2435
ENSRNOG00000000542	3.000005	11	9	4	9	11.000028	16
ENSRNOG00000000543	118.401	104.194	113.107	131.189	118.339	117.04	118
ENSRNOG00000000546	204	233	195	255	216	194	247
ENSRNOG00000000547	132	137	121	137	130	133	93
ENSRNOG00000000549	1838	1783	1790	1966	1825	1765	1655
ENSRNOG00000000551	82	96	84	91	89	86	90
ENSRNOG00000000552	42	23	21.99996	24	30.00003	41	21
ENSRNOG00000000556	0	0	1	1	0	0	0
ENSRNOG00000000557	4944.001	5018.0004	4819.997	5431.0011	4895.9997	4683.0001	4654.0037
ENSRNOG00000000559	0	1	2	2	0	0	2
ENSRNOG00000000560	589.99989	712	499.00037	674.0004	653.9999	669.0002	631
ENSRNOG00000000561	442	539	434	562.000000611847	538	513	495.00006
ENSRNOG00000000562	16	16	17	23	16	18	18
ENSRNOG00000000563	158	219.0005	186.0002	263	240.0003	227.0002	200.0002
ENSRNOG00000000564	1	2	6	4	2	2	3
ENSRNOG00000000565	1033	1088	862	1284.998	1127	1113	1043
ENSRNOG00000000566	333	358	332	329	279	260	354
ENSRNOG00000000567	1819.78	2349.23	1917.82	2639.96	2328.38	2404.81	1986.57
ENSRNOG00000000568	258.436	255.919	214.916	310.118	300.439	306.76	291.159
ENSRNOG00000000569	114	97	101	118	89	96	111
ENSRNOG00000000571	9959	11846	9399	13150	11558	11293	10517
ENSRNOG00000000572	329.85	417.652	332.683	469.518	382.823	387.155	338.231
ENSRNOG00000000574	1.00116	0	0	0	1.0016	1.00099	2.00132
ENSRNOG00000000576	572	649	549	730	605	546	743
ENSRNOG00000000579	2141	2045	1614.99	1593.96	1565.98	1660.96	1730
ENSRNOG00000000580	7	13	12	12	9	10	5
ENSRNOG00000000581	569.9997	584.9999	527	635.9998	601.0002	579.0001	500
ENSRNOG00000000582	3	2	3	1	1	1	1
ENSRNOG00000000583	662	644	625	841	789	696	556
ENSRNOG00000000585	2161	2128	2249	2203	2028	1960	1838
ENSRNOG00000000586	672	637	573	665	613	590	593
ENSRNOG00000000587	359	384	413	383	386	356	380
ENSRNOG00000000588	261	273.99981	225.0002	307.0005	269	283	226
ENSRNOG00000000589	20.6849	16.9202	18.936	13.8591	16.6347	15.4528	16.7721
ENSRNOG00000000590	13.2856	15.212	12.9418	10.9611	6.62315	5.8165	9.64709
ENSRNOG00000000593	701.7861	834.29539594	789.522	1025.703	867.464	1012.85	711.272
ENSRNOG00000000595	114	92	87	135	130	123	97
ENSRNOG00000000596	1041	1045	908.9992	1127.0003	978.0005	1070.000199	866.99977
ENSRNOG00000000597	1.41375	0	1.37806	1.35762	5.38755	0	1.27116
ENSRNOG00000000598	181.586	196	189.622	210.642	197.612	182	185.729
ENSRNOG00000000599	5552	6488	4910	8310	7427	7158	5479
ENSRNOG00000000604	2738	2784	2769	2948	2811	2845	2643
ENSRNOG00000000605	0	1	1	4	3	0	3
ENSRNOG00000000606	0	1	0	1	0	0	0
ENSRNOG00000000607	0	0	0	0	0	0	0
ENSRNOG00000000609	347.989	415.097	337.128	424.17	369.061	352.199	326.051
ENSRNOG00000000610	3010	3257	2895	3088	2805	2630	2999
ENSRNOG00000000611	510	605	452	579	557	545	556
ENSRNOG00000000613	984	1015	1036	1099	901	962	1045
ENSRNOG00000000614	1703	1626	1556	2031.998	1804	1870	1506
ENSRNOG00000000618	2	2	4	1	3	4	2
ENSRNOG00000000620	0	2	0	0	1	0	0
ENSRNOG00000000622	6467.86	6468	6498.82	6293	5310	4911	6504
ENSRNOG00000000630	0	0	0	0	0	0	0
ENSRNOG00000000632	701.0003	734.0002	756.0003	762.9996	761.9996	689.9996	777.9996
ENSRNOG00000000633	644.182	642.3087	561.2393	744.1616	730.259	615.1759	605.2567
ENSRNOG00000000634	713	639	681	736	703	625	706
ENSRNOG00000000636	64	75	81	86	63.0984	90.1527	67
ENSRNOG00000000638	278.181	295.776	254.061	317.275	297.72	268.395	241.387
ENSRNOG00000000639	317	331	291	328	318	294	284
ENSRNOG00000000640	53	66	73	61	72	73	66
ENSRNOG00000000641	346	362.567	334	379.722	345.683	328	330
ENSRNOG00000000645	2258	2260	2261	2590	2266	2273	2052
ENSRNOG00000000648	998	1303	1213	1756	1460	1589	1214
ENSRNOG00000000650	0	0	0	0	0	0	0
ENSRNOG00000000653	22	28	27	16	23	26	22
ENSRNOG00000000655	58.3628	61.20114	76.28005	61.34164	55.26565	68.5702	57.2028
ENSRNOG00000000657	573	595	579	651	603	561	513
ENSRNOG00000000658	5142.9971	5426.0039757505	4513.9964506674	6547.004328404	5771.9950313	5729.0031	4140.9963
ENSRNOG00000000661	210.9997	240.0002	184.9996	280	258	270	242.9997
ENSRNOG00000000662	99	133	113	118	85	99	125
ENSRNOG00000000663	897	998	973	1052	1030	1024	961
ENSRNOG00000000664	936	1060	939	1066	943	937	982
ENSRNOG00000000665	1978.999	2023.996	1824.996	2173	2111.004	1954.998	1953.996
ENSRNOG00000000691	1	0	0	0	0	0	0
ENSRNOG00000000692	492	629	490	624	525	510	511
ENSRNOG00000000693	17	11	10	16.6389	13.73054	17.00001	20
ENSRNOG00000000695	412	509	315	634	585	532	373
ENSRNOG00000000697	2384	2493	2367	2727	2469	2484	2385
ENSRNOG00000000699	134	185	144	211	178	172	141
ENSRNOG00000000700	884	941	825	857	869	892	894
ENSRNOG00000000701	2082	2229	1997	2168	1954	1834	2095
ENSRNOG00000000702	1058	1090	1007	1281	1156	1128	979
ENSRNOG00000000704	271.652	252.687	252.369	292.945	275.586	265.435	196.887
ENSRNOG00000000708	3	7	5	4	5	4	4
ENSRNOG00000000713	0	0	0	0	0	0	0
ENSRNOG00000000715	0	2	0	0	0	0	1
ENSRNOG00000000716	2	0	1	2	0	0	0
ENSRNOG00000000718	1463	1598	1667	1890	1681	1670	1465
ENSRNOG00000000720	330	334	347.941	378	308	316	339
ENSRNOG00000000723	215.285	247.045	175.773	254.779	208.91702	203.69001	226.21937
ENSRNOG00000000726	0	0	0	0	0	0	0
ENSRNOG00000000728	363	393	414	422	393	363	391
ENSRNOG00000000729	496.01274	514	511.0171	545	478	481	444.03744
ENSRNOG00000000746	0	0	0	0	0	0	0
ENSRNOG00000000747	0	0	0	0	0	0	0
ENSRNOG00000000748	6.72682	7.10058	11.4961	3.41644	3.50832	5.18454	1.63319
ENSRNOG00000000749	0	0	0	0	0	0	0
ENSRNOG00000000759	0	0	0	0	0	0	0
ENSRNOG00000000763	89.1006	92.5935	59.2569	65.2705	90.2637	85.3369	81.3055
ENSRNOG00000000765	0	0	0	0	0	0	0
ENSRNOG00000000767	1	0	1	1	1	0	0
ENSRNOG00000000768	2	0	2	4	0	2	0
ENSRNOG00000000774	1692.87584	1874.91848	1545.2131	1929.1636	1650.65071	1735.91307	1610.69765
ENSRNOG00000000775	123.39	119.64	112	165	167	137	121
ENSRNOG00000000777	447.56994	521.81465	552.66869	581.79575	525.89582	490.0228	516.81647
ENSRNOG00000000778	108.14079	143.21485	104.35851	118.46507	136.71063	130.51863	149.7787
ENSRNOG00000000779	211.99975	291.00039	270.00018	263.00036	271.0004	241.00042	244.00012
ENSRNOG00000000780	865.99979	962.99959	881.00026	933.00022	824.99989	875.00022	914.0005
ENSRNOG00000000781	27	29	32.00005	27.00004	31.999986	27	35.99996
ENSRNOG00000000782	2	4	3	3	2	3	1
ENSRNOG00000000783	0	0	0	0	0	0	0
ENSRNOG00000000785	256.81622	270.7819	240.50102	313.2886	263.2287	294.59880154904	263.79957
ENSRNOG00000000786	430.99986	515.99976	441.00026	480.99963	409.00011	403.00028	481.99962
ENSRNOG00000000787	15.0607	23.4469	14.4038	18.8329	17.5935	19.343826	14.0835
ENSRNOG00000000795	186.978	215	203	207.071	202.824	184.105	188.724
ENSRNOG00000000796	2351.999	2527.998	3366.005	3343.002	2541.003	3594.997	2721.9977
ENSRNOG00000000798	1532.99918	1645.99597	1509.99765	1508.99954	1385.99947	1454.0025	1407.99631
ENSRNOG00000000799	4149.0023	4213.9954	3965.0046	4669.9999	4278.0011	4305.0008	3809.0021
ENSRNOG00000000800	749	767	730	850	749.99944	722.99955	629.9996
ENSRNOG00000000801	155	166	186	184	151	177	158
ENSRNOG00000000802	107	117	113	130	124	98	96
ENSRNOG00000000804	819.93433	924.49684	780.60542	1034.34808	914.04385	837.21535	986.24659
ENSRNOG00000000805	10070	10293.6	8972.96	13298.8	11526.1	10665.5	10101.5
ENSRNOG00000000808	1146	1082	1115	1300	1170	1082	1059
ENSRNOG00000000809	463.000197	561.000146089393	419.999718	690.999943	536.999759	595.00051134231	591.000037
ENSRNOG00000000811	3.10014	5.08623	5.08606	9.19414	8.1204	5.08152	2.01986
ENSRNOG00000000812	579.64735	732.86297	553.79686	715.59528	766.01008	751.93879	740.49911
ENSRNOG00000000814	0	0	0	0	0	0	0
ENSRNOG00000000815	311	344	353	368	377	318	344
ENSRNOG00000000816	843.00000138237	929	848.00007	1027.9998335	900.9995	888.0001799211	868.0003
ENSRNOG00000000818	247.6493	278.99958	223.5949	285.7299	261.9998	254.00012	266.7218
ENSRNOG00000000823	325	397	476	476	355	553	452
ENSRNOG00000000824	426.9999	407.99952	447	464.000000421707	395.0002	429	423.9997
ENSRNOG00000000825	8	3	8	12	7	4	3
ENSRNOG00000000826	3153.0012	3556.99597	3072.00063	3689.99842	3202.00173	3191.00174	3339.0045
ENSRNOG00000000827	590	684	575.0002	717.0003	638.0003	567.00019	662.9996
ENSRNOG00000000831	489.9999	508.0004	526.9997	596.0005	503.0004	522.9996	462.9997
ENSRNOG00000000833	695	868	615	909	848	862	744
ENSRNOG00000000836	9	8.215996	12	10	8	10	8
ENSRNOG00000000837	0.0132027	0.0450467	0.025215	0.0440025	0.0588289	0.0756532	0.0398776
ENSRNOG00000000838	0	0	0	0	0	0	0
ENSRNOG00000000839	327.05678	367.19256	351.99964	350.23019	291.70849	277.75414	358.0822
ENSRNOG00000000840	538.9425	571.8071	455.0003	604.7698	565.29224	508.2455	578.9175
ENSRNOG00000000841	5085.447	5491.2591	4678.147	5877.97261	5417.3485	5542.03	5070.744
ENSRNOG00000000842	1324.9976	1483.9978	1317.995	1273.094	1271	1169.0003	1303.997
ENSRNOG00000000843	1	0	0	1	2	0	1
ENSRNOG00000000844	0	2	0	1	1	0	2
ENSRNOG00000000846	0	0	0	0	0	0	0
ENSRNOG00000000847	2283.05168	2633.9963	2559.39197	2594.4206	2295.00257	2360.99555	2636.8591
ENSRNOG00000000848	422.0004	403	392.0001	422	375.9996	370	376.0004
ENSRNOG00000000850	19	24.00002	26	24.99997	20	23	24.00001
ENSRNOG00000000851	5670	6352.55	4952.248	6816.13	6251.728	6344.36	5489.833
ENSRNOG00000000852	6129.00073	10781.9993	5533.0036	12394.9923	10212.0011	11391.99936	8709.0014
ENSRNOG00000000853	33.99996	26.00003	34.99996	23.00002	24	21.99996	31
ENSRNOG00000000854	17	7	19	27	17	18	17
ENSRNOG00000000855	5	9	3	14	5	4	1
ENSRNOG00000000857	25	30	21.99997	26.00003	23	27	23
ENSRNOG00000000858	90	133.0002	83	103	98	90	97.00003
ENSRNOG00000000860	321	374	321	420	390	394	353
